[[36, 8, 1, 'red_2'], [22, 12, 1, 'orange_2'], [24, 2, 1, 'green_2'], [30, 7, 1, 'blue_2'], [4, 8, 1, 'red_1'], [10, 7, 1, 'orange_1'], [18, 8, 1, 'green_1'], [36, 3, 1, 'blue_1']]
[[36, 8, 1, 'red_2'], [22, 12, 1, 'orange_2'], [24, 2, 1, 'green_2'], [30, 7, 1, 'blue_2'], [4, 8, 1, 'red_1'], [10, 7, 1, 'orange_1'], [18, 8, 1, 'green_1'], [39.09, 1.83, 1, 'blue_1']]
[[36, 8, 1, 'red_2'], [22, 12, 1, 'orange_2'], [24, 2, 1, 'green_2'], [30, 7, 1, 'blue_2'], [4, 8, 1, 'red_1'], [5.11, 1.02, 1, 'orange_1'], [18, 8, 1, 'green_1'], [39.09, 1.83, 1, 'blue_1']]
[[36, 8, 1, 'red_2'], [22, 12, 1, 'orange_2'], [24, 2, 1, 'green_2'], [30, 7, 1, 'blue_2'], [6.06, 5.96, 1, 'red_1'], [5.11, 1.02, 1, 'orange_1'], [18, 8, 1, 'green_1'], [39.09, 1.83, 1, 'blue_1']]
[[8, 10, 1, 'red_2'], [22, 12, 1, 'orange_2'], [24, 2, 1, 'green_2'], [30, 7, 1, 'blue_2'], [6.06, 5.96, 1, 'red_1'], [5.11, 1.02, 1, 'orange_1'], [18, 8, 1, 'green_1'], [39.09, 1.83, 1, 'blue_1']]
[[8, 10, 1, 'red_2'], [22, 12, 1, 'orange_2'], [27.96, 1.1400000000000001, 1, 'green_2'], [30, 7, 1, 'blue_2'], [6.06, 5.96, 1, 'red_1'], [5.11, 1.02, 1, 'orange_1'], [18, 8, 1, 'green_1'], [39.09, 1.83, 1, 'blue_1']]
[[8, 10, 1, 'red_2'], [22, 12, 1, 'orange_2'], [27.96, 1.1400000000000001, 1, 'green_2'], [30, 7, 1, 'blue_2'], [6.06, 5.96, 1, 'red_1'], [5.11, 1.02, 1, 'orange_1'], [34.02, 1.06, 1, 'green_1'], [39.09, 1.83, 1, 'blue_1']]
[[8, 10, 1, 'red_2'], [16, 10, 1, 'orange_2'], [27.96, 1.1400000000000001, 1, 'green_2'], [30, 7, 1, 'blue_2'], [6.06, 5.96, 1, 'red_1'], [5.11, 1.02, 1, 'orange_1'], [34.02, 1.06, 1, 'green_1'], [39.09, 1.83, 1, 'blue_1']]
[[8, 10, 1, 'red_2'], [16, 10, 1, 'orange_2'], [24, 10, 1, 'green_2'], [30, 7, 1, 'blue_2'], [6.06, 5.96, 1, 'red_1'], [5.11, 1.02, 1, 'orange_1'], [34.02, 1.06, 1, 'green_1'], [39.09, 1.83, 1, 'blue_1']]
[[8, 10, 1, 'red_2'], [16, 10, 1, 'orange_2'], [24, 10, 1, 'green_2'], [32, 10, 1, 'blue_2'], [6.06, 5.96, 1, 'red_1'], [5.11, 1.02, 1, 'orange_1'], [34.02, 1.06, 1, 'green_1'], [39.09, 1.83, 1, 'blue_1']]
[[8, 10, 1, 'red_2'], [16, 10, 1, 'orange_2'], [24, 10, 1, 'green_2'], [32, 10, 1, 'blue_2'], [6.06, 5.96, 1, 'red_1'], [16, 5, 1, 'orange_1'], [34.02, 1.06, 1, 'green_1'], [39.09, 1.83, 1, 'blue_1']]
[[8, 10, 1, 'red_2'], [16, 10, 1, 'orange_2'], [24, 10, 1, 'green_2'], [32, 10, 1, 'blue_2'], [8, 5, 1, 'red_1'], [16, 5, 1, 'orange_1'], [34.02, 1.06, 1, 'green_1'], [39.09, 1.83, 1, 'blue_1']]
[[8, 10, 1, 'red_2'], [16, 10, 1, 'orange_2'], [24, 10, 1, 'green_2'], [32, 10, 1, 'blue_2'], [8, 5, 1, 'red_1'], [16, 5, 1, 'orange_1'], [24, 5, 1, 'green_1'], [39.09, 1.83, 1, 'blue_1']]
[[8, 10, 1, 'red_2'], [16, 10, 1, 'orange_2'], [24, 10, 1, 'green_2'], [32, 10, 1, 'blue_2'], [8, 5, 1, 'red_1'], [16, 5, 1, 'orange_1'], [24, 5, 1, 'green_1'], [32, 5, 1, 'blue_1']]
