[[36, 3, 1, 'green_2'], [30, 7, 1, 'red_2'], [4, 1, 1, 'orange_2'], [22, 12, 1, 'blue_1'], [18, 8, 1, 'purple'], [24, 2, 1, 'blue_2'], [4, 8, 1, 'orange_1'], [36, 8, 1, 'red_1'], [10, 7, 1, 'green_1']]
[[36, 3, 1, 'green_2'], [30, 7, 1, 'red_2'], [4, 1, 1, 'orange_2'], [22, 12, 1, 'blue_1'], [18, 8, 1, 'purple'], [24, 2, 1, 'blue_2'], [4, 8, 1, 'orange_1'], [36, 8, 1, 'red_1'], [8, 6, 1, 'green_1']]
[[36, 3, 1, 'green_2'], [30, 7, 1, 'red_2'], [4, 1, 1, 'orange_2'], [22, 12, 1, 'blue_1'], [18, 8, 1, 'purple'], [11, 3, 1, 'blue_2'], [4, 8, 1, 'orange_1'], [36, 8, 1, 'red_1'], [8, 6, 1, 'green_1']]
[[36, 3, 1, 'green_2'], [30, 7, 1, 'red_2'], [4, 1, 1, 'orange_2'], [22, 12, 1, 'blue_1'], [21, 8, 1, 'purple'], [11, 3, 1, 'blue_2'], [4, 8, 1, 'orange_1'], [36, 8, 1, 'red_1'], [8, 6, 1, 'green_1']]
[[14, 10, 1, 'green_2'], [30, 7, 1, 'red_2'], [4, 1, 1, 'orange_2'], [22, 12, 1, 'blue_1'], [21, 8, 1, 'purple'], [11, 3, 1, 'blue_2'], [4, 8, 1, 'orange_1'], [36, 8, 1, 'red_1'], [8, 6, 1, 'green_1']]
[[14, 10, 1, 'green_2'], [30, 7, 1, 'red_2'], [4, 1, 1, 'orange_2'], [22, 12, 1, 'blue_1'], [16, 6, 1, 'purple'], [11, 3, 1, 'blue_2'], [4, 8, 1, 'orange_1'], [36, 8, 1, 'red_1'], [8, 6, 1, 'green_1']]
[[14, 10, 1, 'green_2'], [30, 7, 1, 'red_2'], [4, 1, 1, 'orange_2'], [16, 2, 1, 'blue_1'], [16, 6, 1, 'purple'], [11, 3, 1, 'blue_2'], [4, 8, 1, 'orange_1'], [36, 8, 1, 'red_1'], [8, 6, 1, 'green_1']]
[[14, 10, 1, 'green_2'], [20, 10, 1, 'red_2'], [4, 1, 1, 'orange_2'], [16, 2, 1, 'blue_1'], [16, 6, 1, 'purple'], [11, 3, 1, 'blue_2'], [4, 8, 1, 'orange_1'], [36, 8, 1, 'red_1'], [8, 6, 1, 'green_1']]
[[14, 10, 1, 'green_2'], [20, 10, 1, 'red_2'], [26, 10, 1, 'orange_2'], [16, 2, 1, 'blue_1'], [16, 6, 1, 'purple'], [11, 3, 1, 'blue_2'], [4, 8, 1, 'orange_1'], [36, 8, 1, 'red_1'], [8, 6, 1, 'green_1']]
[[14, 10, 1, 'green_2'], [20, 10, 1, 'red_2'], [26, 10, 1, 'orange_2'], [23, 5, 1, 'blue_1'], [16, 6, 1, 'purple'], [11, 3, 1, 'blue_2'], [4, 8, 1, 'orange_1'], [36, 8, 1, 'red_1'], [8, 6, 1, 'green_1']]
[[14, 10, 1, 'green_2'], [20, 10, 1, 'red_2'], [26, 10, 1, 'orange_2'], [23, 5, 1, 'blue_1'], [29, 6, 1, 'purple'], [11, 3, 1, 'blue_2'], [4, 8, 1, 'orange_1'], [36, 8, 1, 'red_1'], [8, 6, 1, 'green_1']]
[[14, 10, 1, 'green_2'], [20, 10, 1, 'red_2'], [26, 10, 1, 'orange_2'], [23, 5, 1, 'blue_1'], [29, 6, 1, 'purple'], [3, 1, 1, 'blue_2'], [4, 8, 1, 'orange_1'], [36, 8, 1, 'red_1'], [8, 6, 1, 'green_1']]
[[14, 10, 1, 'green_2'], [20, 10, 1, 'red_2'], [26, 10, 1, 'orange_2'], [23, 5, 1, 'blue_1'], [29, 6, 1, 'purple'], [3, 1, 1, 'blue_2'], [4, 8, 1, 'orange_1'], [36, 8, 1, 'red_1'], [8, 5, 1, 'green_1']]
[[14, 10, 1, 'green_2'], [20, 10, 1, 'red_2'], [26, 10, 1, 'orange_2'], [14, 7, 1, 'blue_1'], [29, 6, 1, 'purple'], [3, 1, 1, 'blue_2'], [4, 8, 1, 'orange_1'], [36, 8, 1, 'red_1'], [8, 5, 1, 'green_1']]
[[14, 10, 1, 'green_2'], [20, 10, 1, 'red_2'], [26, 10, 1, 'orange_2'], [14, 7, 1, 'blue_1'], [20, 7, 1, 'purple'], [3, 1, 1, 'blue_2'], [4, 8, 1, 'orange_1'], [36, 8, 1, 'red_1'], [8, 5, 1, 'green_1']]
[[14, 10, 1, 'green_2'], [20, 10, 1, 'red_2'], [26, 10, 1, 'orange_2'], [14, 7, 1, 'blue_1'], [20, 7, 1, 'purple'], [26, 7, 1, 'blue_2'], [4, 8, 1, 'orange_1'], [36, 8, 1, 'red_1'], [8, 5, 1, 'green_1']]
[[14, 10, 1, 'green_2'], [20, 10, 1, 'red_2'], [26, 10, 1, 'orange_2'], [14, 7, 1, 'blue_1'], [20, 7, 1, 'purple'], [26, 7, 1, 'blue_2'], [4, 8, 1, 'orange_1'], [36, 8, 1, 'red_1'], [26, 4, 1, 'green_1']]
[[14, 10, 1, 'green_2'], [20, 10, 1, 'red_2'], [26, 10, 1, 'orange_2'], [14, 7, 1, 'blue_1'], [20, 7, 1, 'purple'], [26, 7, 1, 'blue_2'], [14, 4, 1, 'orange_1'], [36, 8, 1, 'red_1'], [26, 4, 1, 'green_1']]
[[14, 10, 1, 'green_2'], [20, 10, 1, 'red_2'], [26, 10, 1, 'orange_2'], [14, 7, 1, 'blue_1'], [20, 7, 1, 'purple'], [26, 7, 1, 'blue_2'], [14, 4, 1, 'orange_1'], [20, 4, 1, 'red_1'], [26, 4, 1, 'green_1']]
